GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.rivendite.service,RivenditaServiceImpl,52,425,9,19,14,85,10,15,1,10
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.rivendite.service,RivenditaServiceImpl.new Comparator() {...},0,20,0,0,0,4,0,2,0,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.rivendite.service,RivenditaServiceImpl.new Comparator() {...},0,20,0,0,0,4,0,2,0,2
MoneyArt,default,MainContext,112,0,0,0,29,0,5,0,5,0
MoneyArt,it.unisa.c02.moneyart.model.beans,Partecipazione,27,113,1,1,2,32,2,12,1,12
MoneyArt,it.unisa.c02.moneyart.model.beans,Notifica,83,130,0,2,2,43,2,18,2,17
MoneyArt,it.unisa.c02.moneyart.model.beans,Opera,63,176,0,2,8,48,5,21,5,20
MoneyArt,it.unisa.c02.moneyart.model.beans,Rivendita.Stato,0,15,0,0,0,2,0,1,0,1
MoneyArt,it.unisa.c02.moneyart.model.beans,Rivendita,37,113,0,2,4,30,3,13,3,12
MoneyArt,it.unisa.c02.moneyart.model.beans,Opera.Stato,0,27,0,0,0,2,0,1,0,1
MoneyArt,it.unisa.c02.moneyart.model.beans,Asta.Stato,0,27,0,0,0,2,0,1,0,1
MoneyArt,it.unisa.c02.moneyart.model.beans,Utente,83,289,0,2,7,75,2,32,2,31
MoneyArt,it.unisa.c02.moneyart.model.beans,Asta,81,112,0,2,5,40,4,18,4,17
MoneyArt,it.unisa.c02.moneyart.model.beans,Notifica.Tipo,0,27,0,0,0,2,0,1,0,1
MoneyArt,it.unisa.c02.moneyart.model.beans,Segnalazione,54,86,0,2,2,30,2,12,2,11
MoneyArt,it.unisa.c02.moneyart.model.beans,BooleanComparator,0,21,0,4,0,5,0,5,0,3
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletAsteAdmin,17,0,0,0,6,0,3,0,3,0
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletStoricoOfferte,5,12,0,0,2,4,1,2,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletDettaglioAsta,5,26,0,0,2,7,1,2,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletAnnullaAsta,5,63,0,4,2,14,1,4,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletGetAsteUtente,25,44,2,2,8,9,3,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletGetAsta,24,71,2,4,7,18,3,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletBestOffer,5,33,0,0,2,8,1,2,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletGetAste,85,119,10,11,23,33,9,6,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletCreaAsta,32,171,3,9,8,39,3,6,0,3
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletRimuoviAsta,5,43,0,2,2,11,1,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.vendite.aste.control,ServletNuovaOfferta,0,83,1,1,0,20,1,3,0,3
MoneyArt,it.unisa.c02.moneyart.model.dao,RivenditaDaoImpl,8,339,0,8,5,93,1,13,1,9
MoneyArt,it.unisa.c02.moneyart.model.dao,SegnalazioneDaoImpl,3,330,1,7,2,94,2,12,1,9
MoneyArt,it.unisa.c02.moneyart.model.dao,UtenteDaoImpl,14,577,1,9,9,149,2,16,1,12
MoneyArt,it.unisa.c02.moneyart.model.dao,NotificaDaoImpl,24,479,3,5,7,131,3,13,1,11
MoneyArt,it.unisa.c02.moneyart.model.dao,PartecipazioneDaoImpl,3,375,1,7,2,109,2,13,1,10
MoneyArt,it.unisa.c02.moneyart.model.dao,OperaDaoImpl,9,506,0,12,6,136,1,17,1,11
MoneyArt,it.unisa.c02.moneyart.model.dao,AstaDaoImpl,30,455,2,10,13,112,4,11,2,7
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletLogin.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletGestioneWalletInfo,0,36,0,0,0,10,0,3,0,3
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletGetUtenti,7,113,2,4,3,27,3,6,1,5
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletFotoUtente,11,45,0,2,5,13,1,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletGetUtente,5,33,0,2,2,9,1,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletModificaInformazioniUtente,42,142,4,6,14,38,5,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletFollow,16,113,1,6,4,29,2,5,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletRiceviTransazione,22,40,0,2,7,13,1,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletSignup,5,77,0,2,2,19,1,3,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletLogout,5,17,0,0,2,6,1,2,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletGetUtenti.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletUserPage,1,31,0,0,1,8,1,2,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletAdminInformation,5,52,0,0,2,12,1,2,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletRicercaUtente.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletLogin,71,35,3,1,19,10,4,2,2,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletExternalPayment,42,0,2,0,14,0,4,0,3,0
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletGestioneWallet,22,46,3,2,7,11,4,2,1,2
MoneyArt,it.unisa.c02.moneyart.gestione.utente.control,ServletRicercaUtente,5,63,0,0,2,15,1,4,1,4
MoneyArt,it.unisa.c02.moneyart.gestione.opere.service,OperaServiceImpl,3,110,1,15,2,24,2,15,1,8
